FIPS,Latitude,Longitude,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
6051,37.915836,-118.875167,0.216,0.222,0.228
6053,36.240107,-121.315573,0.22,0.237,0.223
6055,38.507351,-122.325995,0.241,0.243,0.237
6057,39.295191,-120.773446,0.178,0.2,0.211
6059,33.675687,-117.777207,0.207,0.198,0.197
6061,39.062032,-120.722718,0.225,0.227,0.217
6063,39.99517,-120.829516,0.248,0.24,0.23
6065,33.729828,-116.002239,0.259,0.255,0.26
6067,38.450011,-121.340441,0.269,0.266,0.274
6069,36.610702,-121.085296,0.233,0.239,0.233
6071,34.85722,-116.181197,0.277,0.287,0.279
6073,33.023604,-116.776117,0.226,0.202,0.191
6075,37.727239,-123.032229,0.152,0.148,0.161
6077,37.935034,-121.272237,0.304,0.294,0.283
6079,35.385227,-120.44754,0.204,0.218,0.245
6081,37.414664,-122.371542,0.208,0.201,0.211
6083,34.537378,-120.038485,0.194,0.19,0.182
6085,37.220777,-121.690622,0.204,0.195,0.195
6087,37.012488,-122.007205,0.215,0.206,0.202
6089,40.760522,-122.04355,0.273,0.272,0.265
6091,39.576925,-120.521993,0.233,0.238,0.225
6093,41.587986,-122.533287,0.217,0.229,0.232
6095,38.267226,-121.939594,0.265,0.295,0.301
6097,38.532574,-122.945194,0.224,0.216,0.209
6099,37.562384,-121.002656,0.321,0.324,0.326
6101,39.035257,-121.702758,0.276,0.28,0.287
6103,40.126156,-122.232276,0.271,0.288,0.272
6105,40.647724,-123.114404,0.25,0.265,0.251
6107,36.230453,-118.780542,0.283,0.295,0.326
6109,38.021451,-119.964708,0.227,0.206,0.202
6111,34.358742,-119.133143,0.213,0.206,0.203
6113,38.679268,-121.903178,0.211,0.202,0.227
6115,39.270026,-121.34428,0.276,0.259,0.248
8001,39.874325,-104.331872,0.249,0.258,0.263
8003,37.568442,-105.788041,0.213,0.228,0.23
8005,39.644632,-104.331733,0.212,0.21,0.214
8007,37.202395,-107.050863,0.166,0.162,0.165
8009,37.303144,-102.535457,0.206,0.206,0.194
8011,37.931891,-103.077584,0.243,0.244,0.265
8013,40.094826,-105.398382,0.15,0.133,0.134
8014,39.953383,-105.052125,0.202,0.182,0.176
8015,38.738246,-106.316972,0.18,0.191,0.205
8017,38.835387,-102.604585,0.253,0.245,0.237
8019,39.689403,-105.670791,0.173,0.169,0.181
8021,37.213407,-106.176447,0.192,0.215,0.245
8023,37.277547,-105.42894,0.215,0.214,0.219
8025,38.321956,-103.787562,0.241,0.226,0.216
8027,38.101994,-105.373515,0.205,0.207,0.205
8029,38.861756,-107.864757,0.221,0.215,0.204
8031,39.761849,-104.880625,0.17,0.17,0.164
8033,37.747602,-108.530383,0.2,0.211,0.198
8035,39.326435,-104.926199,0.163,0.169,0.17
8037,39.630638,-106.692944,0.12,0.107,0.118
8039,39.310817,-104.117928,0.201,0.189,0.196
8041,38.827383,-104.527472,0.218,0.214,0.223
8043,38.455658,-105.421438,0.221,0.23,0.228
8045,39.599352,-107.90978,0.198,0.177,0.2
8047,39.861082,-105.528947,0.193,0.188,0.197
8049,40.123289,-106.095876,0.187,0.174,0.174
8051,38.669679,-107.078108,0.16,0.16,0.148
8053,37.811625,-107.383405,0.212,0.21,0.205
8055,37.687815,-104.959928,0.197,0.208,0.201
8057,40.663432,-106.329248,0.223,0.209,0.214
8059,39.58646,-105.245601,0.198,0.186,0.183
8061,38.388466,-102.75621,0.239,0.21,0.195
8063,39.30534,-102.603023,0.261,0.265,0.276
8065,39.204316,-106.349696,0.193,0.189,0.175
8067,37.287367,-107.839718,0.172,0.168,0.163
8069,40.663091,-105.482131,0.199,0.189,0.187
8071,37.318831,-104.04411,0.231,0.214,0.21
8073,38.99374,-103.507555,0.243,0.258,0.238
8075,40.728091,-103.090464,0.239,0.245,0.254
8077,39.019492,-108.461837,0.232,0.23,0.235
8079,37.651478,-106.9323,0.193,0.19,0.181
8081,40.573984,-108.204521,0.272,0.262,0.258
8083,37.338025,-108.595786,0.208,0.22,0.217
8085,38.413427,-108.263042,0.219,0.201,0.197
8087,40.262354,-103.807092,0.298,0.278,0.269
8089,37.88417,-103.72126,0.274,0.271,0.269
8091,38.1506,-107.767133,0.185,0.172,0.186
8093,39.118914,-105.717648,0.203,0.199,0.205
8095,40.594712,-102.345105,0.22,0.229,0.228
8097,39.217533,-106.915943,0.133,0.137,0.149
8099,37.958181,-102.392161,0.263,0.268,0.261
8101,38.170658,-104.489893,0.265,0.263,0.259
8103,39.972606,-108.200685,0.222,0.227,0.226
8105,37.485763,-106.453214,0.235,0.23,0.232
8107,40.48316,-106.985289,0.147,0.141,0.143
8109,38.033952,-106.246675,0.222,0.209,0.197
8111,37.781075,-107.670257,0.21,0.2,0.193
8113,38.009374,-108.427326,0.164,0.164,0.167
8115,40.871568,-102.355358,0.242,0.229,0.221
8117,39.621023,-106.137555,0.132,0.125,0.131
8119,38.871994,-105.182552,0.167,0.179,0.203
8121,39.965413,-103.209605,0.24,0.24,0.232
8123,40.555794,-104.383649,0.253,0.255,0.26
8125,40.000631,-102.422649,0.242,0.277,0.248
9001,41.228103,-73.366757,0.196,0.208,0.214
9003,41.806053,-72.732916,0.261,0.265,0.268
9005,41.791897,-73.235428,0.235,0.229,0.239
9007,41.434525,-72.524227,0.235,0.236,0.241
9009,41.349717,-72.900204,0.269,0.263,0.265
9011,41.47863,-72.103452,0.263,0.267,0.276
9013,41.858076,-72.340977,0.24,0.24,0.248
9015,41.824999,-71.990702,0.303,0.289,0.296
10001,39.097088,-75.502982,0.327,0.332,0.328
10003,39.575915,-75.644132,0.259,0.268,0.277
10005,38.677511,-75.335495,0.307,0.312,0.31
11001,38.904149,-77.017094,0.215,0.221,0.224
12001,29.67574,-82.357221,0.246,0.253,0.256
12003,30.324442,-82.302284,0.371,0.371,0.358
12005,30.237563,-85.631348,0.287,0.302,0.299
12007,29.946934,-82.166796,0.359,0.372,0.359
12009,28.298276,-80.700384,0.289,0.265,0.256
12011,26.19352,-80.476658,0.247,0.236,0.244
12013,30.388801,-85.197916,0.37,0.407,0.394
12015,26.868826,-81.940858,0.248,0.262,0.257
12017,28.843628,-82.524796,0.27,0.271,0.263
12019,29.987116,-81.858147,0.288,0.285,0.297
12021,26.118713,-81.400884,0.199,0.188,0.195
12023,30.221305,-82.623127,0.358,0.374,0.363
12027,27.190581,-81.806253,0.347,0.355,0.36
12029,29.580899,-83.195666,0.357,0.326,0.306
12031,30.335245,-81.648113,0.294,0.295,0.306
12033,30.611664,-87.33904,0.296,0.305,0.289
12035,29.474894,-81.286362,0.27,0.246,0.242
12037,29.810176,-84.799174,0.253,0.311,0.322
12039,30.57917,-84.612783,0.384,0.381,0.365
12041,29.723456,-82.795801,0.313,0.315,0.315
12043,26.95481,-81.19082,0.356,0.342,0.331
12045,29.907257,-85.256537,0.316,0.325,0.309
12047,30.491102,-82.951049,0.386,0.326,0.332
12049,27.492846,-81.82158,0.368,0.344,0.339
12051,26.53934,-81.151584,0.343,0.349,0.352
12053,28.567911,-82.464835,0.294,0.317,0.321
12055,27.342627,-81.340921,0.303,0.326,0.31
12057,27.90659,-82.349568,0.261,0.277,0.283
12059,30.866222,-85.812959,0.315,0.32,0.316
12061,27.700638,-80.574803,0.229,0.242,0.245
12063,30.787812,-85.210374,0.34,0.356,0.347
12065,30.424558,-83.890859,0.356,0.336,0.322
12067,29.990066,-83.17851,0.362,0.368,0.353
12069,28.764113,-81.712282,0.305,0.3,0.293
12071,26.552134,-81.89225,0.259,0.255,0.246
12073,30.45931,-84.2778,0.267,0.281,0.264
12075,29.284409,-82.783483,0.32,0.321,0.322
12077,30.259849,-84.868581,0.369,0.391,0.396
12079,30.447228,-83.470437,0.357,0.34,0.341
12081,27.481386,-82.365784,0.25,0.241,0.253
12083,29.202805,-82.0431,0.31,0.29,0.292
12085,27.079954,-80.398211,0.209,0.194,0.213
12086,25.610494,-80.499045,0.21,0.195,0.21
12087,25.601043,-81.206777,0.197,0.214,0.22
12089,30.605926,-81.764929,0.268,0.281,0.286
12091,30.665858,-86.594194,0.288,0.253,0.264
12093,27.385592,-80.887388,0.337,0.309,0.31
12095,28.514435,-81.323295,0.252,0.236,0.249
12097,28.059027,-81.139312,0.292,0.292,0.291
12099,26.645763,-80.448673,0.224,0.229,0.215
12101,28.302024,-82.455707,0.286,0.303,0.311
12103,27.903122,-82.739518,0.24,0.245,0.255
12105,27.953115,-81.692783,0.307,0.312,0.323
12107,29.606006,-81.740894,0.331,0.352,0.361
12109,29.890593,-81.383914,0.23,0.229,0.219
12111,27.380775,-80.443364,0.298,0.288,0.279
12113,30.703633,-87.014255,0.282,0.259,0.261
12115,27.184386,-82.365835,0.206,0.211,0.206
12117,28.690079,-81.13198,0.253,0.245,0.246
12119,28.714294,-82.074715,0.289,0.284,0.269
12121,30.189244,-82.992754,0.316,0.331,0.333
12123,30.016943,-83.616417,0.365,0.387,0.389
12125,30.05428,-82.366918,0.379,0.391,0.371
12127,29.057617,-81.161813,0.273,0.275,0.26
12129,30.140378,-84.375136,0.371,0.363,0.364
12131,30.631211,-86.176614,0.272,0.272,0.275
12133,30.602217,-85.662797,0.373,0.388,0.385
13001,31.739712,-82.290103,0.347,0.352,0.348
13003,31.300562,-82.883614,0.342,0.357,0.353
13005,31.563327,-82.387859,0.318,0.314,0.327
13007,31.319622,-84.454857,0.319,0.323,0.3
13009,33.059532,-83.255362,0.318,0.339,0.368
13011,34.351922,-83.498441,0.281,0.268,0.27
13013,33.992009,-83.712303,0.329,0.353,0.346
13015,34.240918,-84.838188,0.316,0.343,0.352
13017,31.740776,-83.14719,0.35,0.361,0.353
13019,31.274308,-83.231906,0.324,0.34,0.347
13021,32.808844,-83.694193,0.286,0.306,0.313
13023,32.435403,-83.331717,0.315,0.3,0.304
13025,31.197334,-81.982978,0.318,0.346,0.331
13027,30.833696,-83.588971,0.351,0.354,0.335
13029,32.017969,-81.438543,0.27,0.283,0.293
13031,32.393408,-81.74381,0.325,0.346,0.335
13033,33.063737,-82.00389,0.326,0.323,0.32
13035,33.290355,-83.958221,0.325,0.313,0.287
13037,31.521279,-84.62629,0.331,0.347,0.344
13039,30.916358,-81.636516,0.315,0.315,0.315
13043,32.403986,-82.071446,0.326,0.322,0.303
13045,33.582237,-85.080527,0.306,0.298,0.317
13047,34.899393,-85.137353,0.302,0.265,0.278
13049,30.779904,-82.139644,0.322,0.307,0.32
13051,31.974756,-81.091768,0.279,0.288,0.313
13053,32.347445,-84.788021,0.307,0.28,0.273
13055,34.474179,-85.345289,0.346,0.356,0.34
13057,34.244317,-84.475057,0.262,0.255,0.269
13059,33.952234,-83.36713,0.265,0.251,0.253
13061,31.619831,-84.992583,0.327,0.311,0.298
13063,33.552242,-84.412977,0.375,0.395,0.38
13065,30.917653,-82.702614,0.323,0.303,0.296
13067,33.93994,-84.574166,0.223,0.224,0.229
13069,31.549245,-82.844938,0.322,0.323,0.348
13071,31.189758,-83.769741,0.321,0.368,0.352
13073,33.550556,-82.251342,0.262,0.29,0.303
13075,31.152935,-83.429552,0.293,0.287,0.314
13077,33.352897,-84.762138,0.28,0.27,0.268
13079,32.709446,-83.979182,0.31,0.284,0.273
13081,31.914753,-83.753338,0.331,0.301,0.311
13083,34.852424,-85.506201,0.31,0.322,0.323
13085,34.442842,-84.173284,0.283,0.288,0.277
13087,30.877961,-84.577744,0.331,0.309,0.3
13089,33.770661,-84.226343,0.264,0.265,0.273
13091,32.160656,-83.156818,0.323,0.312,0.285
13093,32.151995,-83.807167,0.334,0.341,0.347
13095,31.535068,-84.214444,0.368,0.37,0.344
13097,33.699317,-84.765944,0.333,0.339,0.323
13099,31.324191,-84.906723,0.298,0.306,0.315
13101,30.7085,-82.836132,0.29,0.292,0.283
13103,32.361711,-81.343337,0.33,0.337,0.352
13105,34.115017,-82.842057,0.338,0.324,0.311
13107,32.5911,-82.299763,0.318,0.336,0.363
13109,32.151902,-81.887618,0.354,0.353,0.335
13111,34.863837,-84.319287,0.279,0.261,0.259
13113,33.412717,-84.493941,0.271,0.292,0.311
13115,34.263677,-85.21373,0.28,0.285,0.31
13117,34.225143,-84.127336,0.249,0.261,0.294
13119,34.375155,-83.227291,0.261,0.266,0.295
13121,33.790034,-84.468182,0.218,0.224,0.239
13123,34.690541,-84.453984,0.289,0.265,0.297
13125,33.227491,-82.606913,0.301,0.305,0.286
13127,31.212747,-81.496517,0.278,0.277,0.262
13129,34.509667,-84.873862,0.285,0.293,0.293
13131,30.875863,-84.244772,0.327,0.311,0.33
13133,33.576836,-83.167103,0.299,0.302,0.297
13135,33.959101,-84.022938,0.271,0.274,0.295
13137,34.635108,-83.526406,0.289,0.315,0.317
13139,34.317588,-83.818497,0.261,0.257,0.257
13141,33.26922,-83.000465,0.37,0.36,0.312
13143,33.795165,-85.220062,0.291,0.286,0.273
13145,32.731549,-84.912432,0.287,0.297,0.284
13147,34.348733,-82.96329,0.301,0.295,0.299
13149,33.290968,-85.139594,0.293,0.308,0.302
13151,33.452881,-84.15444,0.303,0.297,0.331
13153,32.458381,-83.662856,0.324,0.323,0.31
13155,31.604306,-83.277037,0.309,0.298,0.292
13157,34.134157,-83.565133,0.285,0.286,0.274
13159,33.314905,-83.687892,0.294,0.306,0.293
13161,31.811615,-82.636825,0.284,0.304,0.3
13163,33.051874,-82.41905,0.381,0.384,0.353
13165,32.794563,-81.971524,0.317,0.323,0.299
13167,32.689831,-82.661354,0.317,0.344,0.34
13169,33.020226,-83.562339,0.317,0.327,0.335
13171,33.07446,-84.146721,0.343,0.33,0.306
13173,31.038197,-83.063164,0.318,0.32,0.332
13175,32.39322,-82.926317,0.349,0.354,0.362
13177,31.818419,-84.146681,0.318,0.322,0.312
13179,31.807245,-81.457969,0.32,0.338,0.349
13181,33.792151,-82.448299,0.334,0.332,0.29
13183,31.749563,-81.74287,0.293,0.297,0.314
13185,30.83368,-83.268967,0.293,0.283,0.313
13187,34.568149,-83.998828,0.293,0.301,0.307
13189,33.482464,-82.473188,0.348,0.35,0.334
13191,31.482978,-81.370199,0.311,0.312,0.309
13193,32.366216,-84.052162,0.338,0.346,0.364
13195,34.128486,-83.203637,0.309,0.324,0.319
13197,32.359538,-84.529561,0.327,0.328,0.329
13199,33.03022,-84.663279,0.328,0.352,0.346
13201,31.162908,-84.730386,0.316,0.312,0.303
13205,31.22894,-84.192407,0.317,0.308,0.336
13207,33.017435,-83.922938,0.343,0.319,0.319
13209,32.172108,-82.533349,0.362,0.373,0.362
13211,33.593732,-83.492324,0.31,0.283,0.265
13213,34.797097,-84.73799,0.282,0.289,0.325
13215,32.510197,-84.874946,0.362,0.321,0.288
13217,33.544046,-83.855189,0.335,0.337,0.329
13219,33.834125,-83.437728,0.291,0.309,0.288
13221,33.866806,-83.074081,0.294,0.298,0.301
13223,33.920903,-84.866979,0.268,0.284,0.286
13225,32.571324,-83.831978,0.348,0.348,0.344
13227,34.456621,-84.490256,0.271,0.25,0.267
13229,31.353988,-82.210427,0.308,0.296,0.285
